usg_apt: Descending,Sum of Total,Latitude,Longitude
JFK,132859612,40.6413,-73.780968
LAX,99203031,33.9416,-118.410042
MIA,84458735,25.7951,-80.2906
SFO,55134327,37.6213,-122.389977
ORD,53008221,41.9803,-87.904724
EWR,52431170,40.6895,-74.1744624
ATL,48135321,33.7490,-84.419853
IAH,42690271,29.9902,-95.33290699
DFW,33744301,32.7079,-97.040443
IAD,31479829,38.9531,-77.44805556
FLL,29997172,26.1224,-80.15166606
BOS,28662039,42.3656,-71.022362
MCO,24707393,28.4312,-81.30861111
HNL,21116680,21.3245,-157.920162986
SEA,20368649,47.4502,122.301659
PHL,15105186,39.9526,-75.2424229
DTW,14346038,42.2162,-83.3485424
LAS,14298870,36.0840,-115.153969
CLT,12683646,35.2271,-80.943054
MSP,11896148,44.8848,-93.2216111
DEN,10931809,39.8561,-104.673828
GUM,10816143,13.4853,144.7916635
LGA,8515273,40.7769,-73.8702298524
PHX,8313520,33.4484,-112.074036
BWI,4490957,39.1774,-76.667663996
LHR,60561693,51.4700,0.4543
YYZ,51828218,43.6777,79.6248
CUN,36230577,21.0417,86.874
MEX,31963556,19.4361,99.0719
CDG,29745672,49.0097,2.548
NRT,28936191,35.7720,140.3929
FRA,27543018,50.0379,8.5622
YVR,24232955,49.1952,123.1789
ICN,24160658,37.4602,126.4407
AMS,22205228,52.3105,4.7683
YUL,16705447,45.4657,73.7455
GDL,14527312,20.5260,103.3076
HKG,14297725,22.3080,113.9185
PTY,13568688,9.0669,79.3871
PEK,13549587,40.0780,116.6031
YYC,12924486,51.1215,114.0076
PVG,12681714,31.1443,121.8083
PUJ,12301975,18.5633,68.3685
DXB,12242424,25.2532,55.3657
SJD,11994826,23.1455,109.7183
GRU,11881990,23.4306,46.473
TPE,11835040,25.0797,121.2342
DUB,11826512,53.4264,6.2499
MBJ,11566956,18.5022,77.9145
MAD,10652423,40.4983,3.5676
